CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4047-08-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO CANDELARIA LA NUEVA;CL 62 SUR CR 23 C
J-4048-03-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;ANAFALCO;KM 3 VIA A MOCHELO
J-4048-02-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;ANAFALCO;KM 3 VIA A MOCHELO
J-4048-01-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;ANAFALCO;KM 3 VIA A MOCHELO
J-4048-15-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;CEFE EL TUNAL;CL 46A S 22 60
J-4048-14-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;CEFE EL TUNAL;CL 46A S 22 60
J-4048-05-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;CEFE EL TUNAL;CL 46A S 22 60
J-4048-04-V1;212000000000;COLEGIO RURAL JOSE CELESTINO MUTIS (IED);COMPLEMENTARIA;CEFE EL TUNAL;CL 46A S 22 60
J-4051-08-V3;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-08-V2;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-08-V1;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-05-V4;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-05-V3;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-05-V2;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-05-V1;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-04-V2;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-04-V1;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-01-V4;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-01-V3;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-01-V2;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-01-V1;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;CREA LUCERO BAJO;KR 17DBIS 64A 05 S
J-4051-07-V3;111000000000;COLEGIO SOTAVENTO (IED);COMPLEMENTARIA;PARQUE VALLES DE CAFAM;KR 14I DG 92 SUR
