CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4055-06-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-06-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V7;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V6;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V5;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V4;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-05-V1;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;PARQUE SAN ANDRÉS;CL 82 100A 91
J-4055-24-V4;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-24-V3;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
J-4055-24-V2;1,11E+11;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED);COMPLEMENTARIA;CREA VILLAS DEL DORADO;KR 105 70 58
