Sentidos;CodRuta;Id Localid;Localidad;SegOpe;Proveedor;TipoRuta;VehCod;VehTip;VehMRed;TipoEst;IEDDANE;IED;Sede;Jornada;Zona;HoraIniR1;HoraFinJE;HoraIniR2;NumHoras1;NumHoras2;NumHorasT;Lunes;Martes;Mc;Jueves;Viernes;Sabado;Domingo;TipoPob;Hora_IniJE;Min_Ini;Min_Fin;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;id_3;left;top;right;bottom;row_index;col_index;Dias_op;KM_Ruta;Zona
R1;R-205;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;10;BUS;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;10:55;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:40;655;700;-1;323;0;323;6137,416174;280,9762889;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;10,661;0
R1;R-223;7;BOSA;2_CV_2025;CONSORCIO RUTAS SEGURAS;RURAL;14;VAN;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:45;11:30;11:35;1;1;2;1;1;1;1;1;0;0;GENERAL;6:30;345;390;-1;323;0;323;7646,649545;155,709427;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;15,446;0
R1;R-224;7;BOSA;2_CV_2025;CONSORCIO RUTAS SEGURAS;RURAL;14;VAN;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;TARDE;RURAL;11:45;17:20;17:25;1;1;2;1;1;1;1;1;0;0;GENERAL;12:30;705;750;-1;275;0;275;5509,908766;338,1414977;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;11,804;0
R1;U-1455;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;13;MICROBUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;MAÑANA;URBANO;5:35;11:30;11:35;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;335;370;-1;265;0;265;5294,731202;83,32283986;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;11,487;Perdomo
R1;U-187;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;12:05;17:30;17:35;1;1;2;1;1;1;1;1;0;0;GENERAL;12:25;725;745;-1;189;0;189;2606,979107;79,28131273;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;5,212;Perdomo
R1;U-188;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;10;BUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;11:25;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:45;685;705;-1;189;0;189;2607,267498;82,32648021;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;5,214;Perdomo
R1;U-189;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;13;MICROBUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;MAÑANA;URBANO;5:45;11:30;11:35;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;345;370;-1;340;0;340;5915,782544;79,73956522;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;11,482;Perdomo
R1;U-190;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;10;BUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;MAÑANA;URBANO;5:35;12:15;12:20;1;1;2;1;1;1;1;1;0;0;GENERAL;5:55;335;355;-1;179;0;179;2608,645697;84,76717912;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;5,218;Perdomo
R1;U-191;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;13;MICROBUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;11:40;17:30;17:35;1;1;2;1;1;1;1;1;0;0;GENERAL;12:25;700;745;-1;334;0;334;6060,552222;77,52261265;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;12,897;Perdomo
R1;U-192;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;11:15;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:45;675;705;-1;117;0;117;6511,55692;81,72301273;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;12,399;Perdomo
R1;U-193;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;11:15;18:15;18:20;1;1;2;1;1;1;1;1;0;0;GENERAL;11:45;675;705;-1;267;0;267;5304,191004;83,32283986;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;11,482;Perdomo
R1;U-194;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;13;MICROBUS;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;11:45;17:30;17:35;1;1;2;1;1;1;1;1;0;0;GENERAL;12:25;705;745;-1;322;0;322;6819,476046;83,32283986;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;13,021;Perdomo
R1;U-195;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;MAÑANA;URBANO;5:20;12:15;12:20;1;1;2;1;1;1;1;1;0;0;GENERAL;5:55;320;355;-1;522;0;522;9719,411526;83,32283986;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;21,529;Perdomo
R1;U-196;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;12:15;17:30;17:35;1;1;2;1;1;1;1;1;0;0;GENERAL;12:25;735;745;-1;78;0;78;1840,872449;81,63009976;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;3,385;Perdomo
R1;U-197;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;MAÑANA;URBANO;6:00;11:35;11:40;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;360;370;-1;77;0;77;1842,965833;80,24987213;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;3,389;Perdomo
R1;U-198;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;URBANO;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO ALFONSO REYES ECHANDIA (IED);A;TARDE;URBANO;12:15;17:30;17:35;1;1;2;1;1;1;1;1;0;0;GENERAL;12:25;735;745;-1;78;0;78;1840,983321;82,01560169;852;984664,5644;1002624,117;986973,9655;1000624,117;11;15;5;3,384;Perdomo
